210001, [['Ngữ văn', '2.5'], ['Toán', '4'], ['Tiếng Anh', '2.5'], ['KHTN', '3.1'], ['LS&&ĐL', '4']]
110001, [['Ngữ văn', '5'], ['Toán', '9.5'], ['Tiếng Anh', '6.25'], ['KHTN', '7.6'], ['LS&&ĐL', '6']]
010001, [['Ngữ văn', '3'], ['Toán', '2.75'], ['Tiếng Anh', '6.88'], ['KHTN', '4.75'], ['LS&&ĐL', '4.35']]
160001, [['Ngữ văn', '3.5'], ['Toán', '4.25'], ['Tiếng Anh', '2.19'], ['KHTN', '3.1'], ['LS&&ĐL', '3.6']]
060001, [['Ngữ văn', '3.25'], ['Toán', '6.25'], ['Tiếng Anh', '8.75'], ['KHTN', '5.35'], ['LS&&ĐL', '3.75']]
210002, [['Ngữ văn', '2'], ['Toán', '5.25'], ['Tiếng Anh', '2.19'], ['KHTN', '4.75'], ['LS&&ĐL', '3.5']]
160002, [['Ngữ văn', '4.5'], ['Toán', '5.85'], ['Tiếng Anh', '3.13'], ['KHTN', '6.5'], ['LS&&ĐL', '3.5']]
010002, [['Ngữ văn', '5'], ['Toán', '7.5'], ['Tiếng Anh', '7.19'], ['KHTN', '3.5'], ['LS&&ĐL', '5']]
110002, [['Ngữ văn', '5.75'], ['Toán', '6.5'], ['Tiếng Anh', '6.56'], ['KHTN', '6.1'], ['LS&&ĐL', '6']]
060002, [['Ngữ văn', '7'], ['Toán', '9.5'], ['Tiếng Anh', '8.44'], ['KHTN', '8'], ['LS&&ĐL', '7.75']]
210003, [['Ngữ văn', '3.25'], ['Toán', '6.75'], ['Tiếng Anh', '4.38'], ['KHTN', '5.5'], ['LS&&ĐL', '3.75']]
010003, [['Ngữ văn', ''], ['Toán', ''], ['Tiếng Anh', ''], ['KHTN', ''], ['LS&&ĐL', '']]
160003, [['Ngữ văn', '6.75'], ['Toán', '8.5'], ['Tiếng Anh', '9.06'], ['KHTN', '8.5'], ['LS&&ĐL', '8.5']]
110003, [['Ngữ văn', '3.25'], ['Toán', '6'], ['Tiếng Anh', '6.56'], ['KHTN', '4.75'], ['LS&&ĐL', '4']]
060003, [['Ngữ văn', '2.75'], ['Toán', '3.25'], ['Tiếng Anh', '1.88'], ['KHTN', '6.25'], ['LS&&ĐL', '4']]
210004, [['Ngữ văn', '2'], ['Toán', '5.25'], ['Tiếng Anh', '5'], ['KHTN', '3.85'], ['LS&&ĐL', '5']]
010004, [['Ngữ văn', '3.75'], ['Toán', '6.1'], ['Tiếng Anh', '6.56'], ['KHTN', '4.75'], ['LS&&ĐL', '6']]
110004, [['Ngữ văn', '5.25'], ['Toán', '8.5'], ['Tiếng Anh', '5.94'], ['KHTN', '6.5'], ['LS&&ĐL', '6.25']]
160004, [['Ngữ văn', '6.5'], ['Toán', '9'], ['Tiếng Anh', '6.88'], ['KHTN', '8.5'], ['LS&&ĐL', '8.5']]
060004, [['Ngữ văn', '7'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '8.75'], ['LS&&ĐL', '6.6']]
010005, [['Ngữ văn', '8'], ['Toán', '9.25'], ['Tiếng Anh', '7.19'], ['KHTN', '5'], ['LS&&ĐL', '4.5']]
160005, [['Ngữ văn', '6.25'], ['Toán', '8.25'], ['Tiếng Anh', '5.94'], ['KHTN', '8.5'], ['LS&&ĐL', '8.5']]
210005, [['Ngữ văn', '2.25'], ['Toán', '5.5'], ['Tiếng Anh', '5.63'], ['KHTN', '5'], ['LS&&ĐL', '5']]
110005, [['Ngữ văn', '4.25'], ['Toán', '6.5'], ['Tiếng Anh', '5.31'], ['KHTN', '3.1'], ['LS&&ĐL', '5.75']]
060005, [['Ngữ văn', '3.5'], ['Toán', '5'], ['Tiếng Anh', '6.88'], ['KHTN', '5.5'], ['LS&&ĐL', '6.25']]
010006, [['Ngữ văn', '2.5'], ['Toán', '3'], ['Tiếng Anh', '7.19'], ['KHTN', '6.25'], ['LS&&ĐL', '6.25']]
160006, [['Ngữ văn', '6.5'], ['Toán', '8.75'], ['Tiếng Anh', '6.88'], ['KHTN', '8.5'], ['LS&&ĐL', '8']]
210006, [['Ngữ văn', '2.5'], ['Toán', '8.5'], ['Tiếng Anh', '6.56'], ['KHTN', '5.5'], ['LS&&ĐL', '5.1']]
110006, [['Ngữ văn', '5.5'], ['Toán', '5.6'], ['Tiếng Anh', '4.38'], ['KHTN', '3.35'], ['LS&&ĐL', '4.5']]
060006, [['Ngữ văn', '4.5'], ['Toán', '5.75'], ['Tiếng Anh', '3.75'], ['KHTN', '8'], ['LS&&ĐL', '3.35']]
210007, [['Ngữ văn', '2.5'], ['Toán', '5.35'], ['Tiếng Anh', '2.81'], ['KHTN', '4.75'], ['LS&&ĐL', '3.5']]
160007, [['Ngữ văn', '5.5'], ['Toán', '5.75'], ['Tiếng Anh', '3.75'], ['KHTN', '4.6'], ['LS&&ĐL', '3.75']]
010007, [['Ngữ văn', '2.5'], ['Toán', '3.75'], ['Tiếng Anh', '5.31'], ['KHTN', '6.25'], ['LS&&ĐL', '6.25']]
110007, [['Ngữ văn', '3.5'], ['Toán', '7'], ['Tiếng Anh', '5.31'], ['KHTN', '5.75'], ['LS&&ĐL', '5']]
060007, [['Ngữ văn', '6.25'], ['Toán', '7'], ['Tiếng Anh', '5.94'], ['KHTN', '7.5'], ['LS&&ĐL', '6']]
160008, [['Ngữ văn', '5.75'], ['Toán', '6.35'], ['Tiếng Anh', '4.69'], ['KHTN', '6.25'], ['LS&&ĐL', '3.5']]
210008, [['Ngữ văn', '1'], ['Toán', '4'], ['Tiếng Anh', '2.5'], ['KHTN', '2.85'], ['LS&&ĐL', '3.5']]
010008, [['Ngữ văn', '1.5'], ['Toán', '4.75'], ['Tiếng Anh', '7.19'], ['KHTN', '3.25'], ['LS&&ĐL', '3']]
110008, [['Ngữ văn', '4.75'], ['Toán', '7.75'], ['Tiếng Anh', '6.56'], ['KHTN', '4'], ['LS&&ĐL', '5']]
060008, [['Ngữ văn', '6.25'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '10'], ['LS&&ĐL', '6.25']]
210009, [['Ngữ văn', '2'], ['Toán', '5.75'], ['Tiếng Anh', '5'], ['KHTN', '5.25'], ['LS&&ĐL', '5.5']]
010009, [['Ngữ văn', '1.5'], ['Toán', '5'], ['Tiếng Anh', '7.19'], ['KHTN', '5.25'], ['LS&&ĐL', '4.5']]
160009, [['Ngữ văn', '4.75'], ['Toán', '6.75'], ['Tiếng Anh', '5.63'], ['KHTN', '6.1'], ['LS&&ĐL', '5.35']]
110009, [['Ngữ văn', '4.75'], ['Toán', '5.35'], ['Tiếng Anh', '5'], ['KHTN', '3'], ['LS&&ĐL', '4.35']]
