001001,[['Ngữ văn', '6.5'], ['Toán', '8.25'], ['Tiếng Anh', '7.5'], ['KHTN', '4.5'], ['LS&&ĐL', '5.1']]
001002,[['Ngữ văn', '6.75'], ['Toán', '8'], ['Tiếng Anh', '7.5'], ['KHTN', '6.25'], ['LS&&ĐL', '6.75']]
001003,[['Ngữ văn', '5'], ['Toán', '8.5'], ['Tiếng Anh', '3.44'], ['KHTN', '6.35'], ['LS&&ĐL', '4.5']]
001004,[['Ngữ văn', '6.75'], ['Toán', '7.6'], ['Tiếng Anh', '7.5'], ['KHTN', '5.5'], ['LS&&ĐL', '7']]
001005,[['Ngữ văn', '4.25'], ['Toán', '6.85'], ['Tiếng Anh', '9.38'], ['KHTN', '6.6'], ['LS&&ĐL', '6']]
001006,[['Ngữ văn', '6.75'], ['Toán', '8'], ['Tiếng Anh', '8.44'], ['KHTN', '7'], ['LS&&ĐL', '4.85']]
001007,[['Ngữ văn', '6.75'], ['Toán', '7.25'], ['Tiếng Anh', '7.5'], ['KHTN', '4.85'], ['LS&&ĐL', '6']]
001008,[['Ngữ văn', '5'], ['Toán', '6.75'], ['Tiếng Anh', '5.94'], ['KHTN', '5.25'], ['LS&&ĐL', '5.75']]
001009,[['Ngữ văn', '5'], ['Toán', '9.5'], ['Tiếng Anh', '8.13'], ['KHTN', '7'], ['LS&&ĐL', '7.25']]
001010,[['Ngữ văn', '5'], ['Toán', '9'], ['Tiếng Anh', '9.06'], ['KHTN', '6.5'], ['LS&&ĐL', '4.5']]
001011,[['Ngữ văn', '7.25'], ['Toán', '9'], ['Tiếng Anh', '6.25'], ['KHTN', '5.75'], ['LS&&ĐL', '4.35']]
001012,[['Ngữ văn', '7.75'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8']]
001013,[['Ngữ văn', '7.25'], ['Toán', '6.75'], ['Tiếng Anh', '8.44'], ['KHTN', '5.35'], ['LS&&ĐL', '6.25']]
001014,[['Ngữ văn', '6.5'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '7.5'], ['LS&&ĐL', '9']]
001015,[['Ngữ văn', '5.75'], ['Toán', '9.75'], ['Tiếng Anh', '8.75'], ['KHTN', '7.25'], ['LS&&ĐL', '7.75']]
001016,[['Ngữ văn', '6.25'], ['Toán', '8.75'], ['Tiếng Anh', '8.44'], ['KHTN', '5.5'], ['LS&&ĐL', '6']]
001017,[['Ngữ văn', '5'], ['Toán', '8.5'], ['Tiếng Anh', '9.06'], ['KHTN', '5.75'], ['LS&&ĐL', '7']]
001018,[['Ngữ văn', '5.75'], ['Toán', '8.75'], ['Tiếng Anh', '6.25'], ['KHTN', '5.75'], ['LS&&ĐL', '6.5']]
001019,[['Ngữ văn', '6.5'], ['Toán', '7.5'], ['Tiếng Anh', '7.19'], ['KHTN', '7.25'], ['LS&&ĐL', '4.5']]
001020,[['Ngữ văn', '5.25'], ['Toán', '8'], ['Tiếng Anh', '8.75'], ['KHTN', '5'], ['LS&&ĐL', '5.75']]
001021,[['Ngữ văn', '5.25'], ['Toán', '7.5'], ['Tiếng Anh', '7.5'], ['KHTN', '3.25'], ['LS&&ĐL', '3.6']]
001022,[['Ngữ văn', '4.5'], ['Toán', '5.6'], ['Tiếng Anh', '6.56'], ['KHTN', '6.75'], ['LS&&ĐL', '5.25']]
001023,[['Ngữ văn', '4.75'], ['Toán', '6.5'], ['Tiếng Anh', '6.88'], ['KHTN', '6.75'], ['LS&&ĐL', '3.75']]
001024,[['Ngữ văn', '4.25'], ['Toán', '5.1'], ['Tiếng Anh', '8.13'], ['KHTN', '5.1'], ['LS&&ĐL', '4.6']]
001025,[['Ngữ văn', '4.5'], ['Toán', '6.6'], ['Tiếng Anh', '8.44'], ['KHTN', '4.25'], ['LS&&ĐL', '7']]
001026,[['Ngữ văn', '6'], ['Toán', '8.75'], ['Tiếng Anh', '8.13'], ['KHTN', '5.1'], ['LS&&ĐL', '5.25']]
001027,[['Ngữ văn', '4'], ['Toán', '9.25'], ['Tiếng Anh', '9.38'], ['KHTN', '4.6'], ['LS&&ĐL', '5.5']]
001028,[['Ngữ văn', '5.5'], ['Toán', '9.25'], ['Tiếng Anh', '8.75'], ['KHTN', '5.5'], ['LS&&ĐL', '7']]
001029,[['Ngữ văn', '3.75'], ['Toán', '9.5'], ['Tiếng Anh', '4.38'], ['KHTN', '6.25'], ['LS&&ĐL', '3.1']]
001030,[['Ngữ văn', '3.5'], ['Toán', '6'], ['Tiếng Anh', '8.44'], ['KHTN', '5'], ['LS&&ĐL', '3.1']]
001031,[['Ngữ văn', '4.75'], ['Toán', '8.25'], ['Tiếng Anh', '7.5'], ['KHTN', '6.75'], ['LS&&ĐL', '6']]
001032,[['Ngữ văn', '6.5'], ['Toán', '9.25'], ['Tiếng Anh', '9.06'], ['KHTN', '8'], ['LS&&ĐL', '6.25']]
001033,[['Ngữ văn', '4.5'], ['Toán', '9'], ['Tiếng Anh', '7.81'], ['KHTN', '6.5'], ['LS&&ĐL', '5.5']]
001034,[['Ngữ văn', '4.5'], ['Toán', '9'], ['Tiếng Anh', '7.19'], ['KHTN', '7'], ['LS&&ĐL', '5.25']]
001035,[['Ngữ văn', '4.5'], ['Toán', '7.5'], ['Tiếng Anh', '6.88'], ['KHTN', '4.35'], ['LS&&ĐL', '4.6']]
001036,[['Ngữ văn', '6'], ['Toán', '8.25'], ['Tiếng Anh', '6.25'], ['KHTN', '6.75'], ['LS&&ĐL', '6.6']]
001037,[['Ngữ văn', '5'], ['Toán', '9'], ['Tiếng Anh', '5.94'], ['KHTN', '5.5'], ['LS&&ĐL', '4.5']]
001038,[['Ngữ văn', '5.5'], ['Toán', '6.5'], ['Tiếng Anh', '9.38'], ['KHTN', '4.75'], ['LS&&ĐL', '8']]
001039,[['Ngữ văn', '4.5'], ['Toán', '9'], ['Tiếng Anh', '7.81'], ['KHTN', '6.6'], ['LS&&ĐL', '6']]
001040,[['Ngữ văn', '3.5'], ['Toán', '9.25'], ['Tiếng Anh', '9.06'], ['KHTN', '7.1'], ['LS&&ĐL', '4']]
001041,[['Ngữ văn', '6'], ['Toán', '6.6'], ['Tiếng Anh', '8.13'], ['KHTN', '6.6'], ['LS&&ĐL', '5.25']]
001042,[['Ngữ văn', '6.5'], ['Toán', '10'], ['Tiếng Anh', '8.44'], ['KHTN', '8'], ['LS&&ĐL', '3.75']]
001043,[['Ngữ văn', '4.5'], ['Toán', '7.75'], ['Tiếng Anh', '9.06'], ['KHTN', '5.6'], ['LS&&ĐL', '4.5']]
001044,[['Ngữ văn', '5.5'], ['Toán', '6'], ['Tiếng Anh', '6.25'], ['KHTN', '6.75'], ['LS&&ĐL', '6.25']]
001045,[['Ngữ văn', '7'], ['Toán', '9.5'], ['Tiếng Anh', '7.81'], ['KHTN', '6.75'], ['LS&&ĐL', '7']]
001046,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.69'], ['KHTN', '7.75'], ['LS&&ĐL', '8.5']]
001047,[['Ngữ văn', '6.5'], ['Toán', '9'], ['Tiếng Anh', '6.56'], ['KHTN', '5.75'], ['LS&&ĐL', '6.1']]
001048,[['Ngữ văn', '4.25'], ['Toán', '5.5'], ['Tiếng Anh', '6.25'], ['KHTN', '5.85'], ['LS&&ĐL', '5.6']]
001049,[['Ngữ văn', '4.25'], ['Toán', '6.5'], ['Tiếng Anh', '7.5'], ['KHTN', '5.5'], ['LS&&ĐL', '6.5']]
001050,[['Ngữ văn', '7'], ['Toán', '5.5'], ['Tiếng Anh', '5.31'], ['KHTN', '5.75'], ['LS&&ĐL', '6.5']]
001051,[['Ngữ văn', '5.25'], ['Toán', '6.25'], ['Tiếng Anh', '4.38'], ['KHTN', '5.35'], ['LS&&ĐL', '5.75']]
