028027,[['Ngữ văn', '8'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '10'], ['LS&&ĐL', '9.5'], ['Tổng các môn', '46.44'], ['Tổng Toán, Văn, Anh', '26.94']]
074032,[['Ngữ văn', '8.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '46.13'], ['Tổng Toán, Văn, Anh', '27.63']]
228086,[['Ngữ văn', '8.25'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '10'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '46.13'], ['Tổng Toán, Văn, Anh', '27.63']]
151063,[['Ngữ văn', '8.5'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '10'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '45.75'], ['Tổng Toán, Văn, Anh', '27.25']]
151140,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '10'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '45.00'], ['Tổng Toán, Văn, Anh', '26.50']]
103079,[['Ngữ văn', '8.5'], ['Toán', '10'], ['Tiếng Anh', '10'], ['KHTN', '8.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '45.00'], ['Tổng Toán, Văn, Anh', '28.50']]
080109,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '10'], ['LS&&ĐL', '7.75'], ['Tổng các môn', '44.94'], ['Tổng Toán, Văn, Anh', '27.19']]
024154,[['Ngữ văn', '8.25'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '9.5'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '44.94'], ['Tổng Toán, Văn, Anh', '27.94']]
028026,[['Ngữ văn', '7.5'], ['Toán', '8.75'], ['Tiếng Anh', '9.69'], ['KHTN', '10'], ['LS&&ĐL', '9'], ['Tổng các môn', '44.94'], ['Tổng Toán, Văn, Anh', '25.94']]
024084,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '44.88'], ['Tổng Toán, Văn, Anh', '26.88']]
103151,[['Ngữ văn', '8'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '44.88'], ['Tổng Toán, Văn, Anh', '27.38']]
079061,[['Ngữ văn', '8'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '8.5'], ['LS&&ĐL', '9.5'], ['Tổng các môn', '44.75'], ['Tổng Toán, Văn, Anh', '26.75']]
016131,[['Ngữ văn', '7'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '8.5'], ['LS&&ĐL', '9.5'], ['Tổng các môn', '44.69'], ['Tổng Toán, Văn, Anh', '26.69']]
228067,[['Ngữ văn', '8'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '10'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '44.63'], ['Tổng Toán, Văn, Anh', '27.13']]
151041,[['Ngữ văn', '7.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '44.63'], ['Tổng Toán, Văn, Anh', '26.63']]
001012,[['Ngữ văn', '7.75'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '44.63'], ['Tổng Toán, Văn, Anh', '27.13']]
151092,[['Ngữ văn', '7.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8.75'], ['Tổng các môn', '44.38'], ['Tổng Toán, Văn, Anh', '26.13']]
028180,[['Ngữ văn', '9'], ['Toán', '8.5'], ['Tiếng Anh', '10'], ['KHTN', '10'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '44.25'], ['Tổng Toán, Văn, Anh', '27.50']]
151025,[['Ngữ văn', '7.25'], ['Toán', '9.75'], ['Tiếng Anh', '10'], ['KHTN', '8.5'], ['LS&&ĐL', '8.75'], ['Tổng các môn', '44.25'], ['Tổng Toán, Văn, Anh', '27.00']]
103193,[['Ngữ văn', '7.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '8.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '44.13'], ['Tổng Toán, Văn, Anh', '26.63']]
232026,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.06'], ['KHTN', '9.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '44.06'], ['Tổng Toán, Văn, Anh', '26.56']]
177034,[['Ngữ văn', '8.75'], ['Toán', '9.75'], ['Tiếng Anh', '8.75'], ['KHTN', '8.25'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '44.00'], ['Tổng Toán, Văn, Anh', '27.25']]
151056,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '9.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '44.00'], ['Tổng Toán, Văn, Anh', '26.50']]
170032,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '8.25'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '27.19']]
078035,[['Ngữ văn', '7'], ['Toán', '10'], ['Tiếng Anh', '8.44'], ['KHTN', '9.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '25.44']]
024048,[['Ngữ văn', '7'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '9'], ['LS&&ĐL', '9'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '25.94']]
024049,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '27.94']]
024081,[['Ngữ văn', '6.25'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '25.94']]
028117,[['Ngữ văn', '6.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '9.5'], ['LS&&ĐL', '8.25'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '26.19']]
159070,[['Ngữ văn', '7.75'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '8'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '27.44']]
004106,[['Ngữ văn', '7.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.69'], ['KHTN', '9'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '26.94']]
228112,[['Ngữ văn', '6.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.88'], ['Tổng Toán, Văn, Anh', '25.88']]
028022,[['Ngữ văn', '7.5'], ['Toán', '9.25'], ['Tiếng Anh', '9.06'], ['KHTN', '10'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.81'], ['Tổng Toán, Văn, Anh', '25.81']]
095031,[['Ngữ văn', '6.75'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.81'], ['Tổng Toán, Văn, Anh', '25.81']]
069030,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '9'], ['LS&&ĐL', '7.6'], ['Tổng các môn', '43.79'], ['Tổng Toán, Văn, Anh', '27.19']]
028091,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '10'], ['KHTN', '8.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.75'], ['Tổng Toán, Văn, Anh', '27.25']]
013302,[['Ngữ văn', '8.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '8'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '27.69']]
170118,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '8.44'], ['KHTN', '10'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '25.69']]
228009,[['Ngữ văn', '8.5'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '9.5'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '27.44']]
024257,[['Ngữ văn', '6.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '9.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '26.19']]
138004,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '8.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '27.19']]
141049,[['Ngữ văn', '7'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '9.25'], ['LS&&ĐL', '7.75'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '26.69']]
028178,[['Ngữ văn', '8.5'], ['Toán', '8.75'], ['Tiếng Anh', '9.69'], ['KHTN', '10'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '26.94']]
048091,[['Ngữ văn', '8'], ['Toán', '9.75'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '26.19']]
