103079,[['Ngữ văn', '8.5'], ['Toán', '10'], ['Tiếng Anh', '10'], ['KHTN', '8.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '45.00'], ['Tổng Toán, Văn, Anh', '28.50']]
024350,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '10'], ['KHTN', '7.1'], ['LS&&ĐL', '4'], ['Tổng các môn', '39.35'], ['Tổng Toán, Văn, Anh', '28.25']]
148010,[['Ngữ văn', '8.5'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '7'], ['LS&&ĐL', '5.75'], ['Tổng các môn', '40.94'], ['Tổng Toán, Văn, Anh', '28.19']]
024044,[['Ngữ văn', '9.5'], ['Toán', '9.25'], ['Tiếng Anh', '9.38'], ['KHTN', '5'], ['LS&&ĐL', '7'], ['Tổng các môn', '40.13'], ['Tổng Toán, Văn, Anh', '28.13']]
024154,[['Ngữ văn', '8.25'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '9.5'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '44.94'], ['Tổng Toán, Văn, Anh', '27.94']]
024049,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '27.94']]
024087,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.44'], ['Tổng Toán, Văn, Anh', '27.94']]
073073,[['Ngữ văn', '8.75'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '7.25'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.06'], ['Tổng Toán, Văn, Anh', '27.81']]
140007,[['Ngữ văn', '8.75'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '7'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.31'], ['Tổng Toán, Văn, Anh', '27.81']]
013302,[['Ngữ văn', '8.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '8'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '27.69']]
074032,[['Ngữ văn', '8.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '46.13'], ['Tổng Toán, Văn, Anh', '27.63']]
228086,[['Ngữ văn', '8.25'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '10'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '46.13'], ['Tổng Toán, Văn, Anh', '27.63']]
024114,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '7.6'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.73'], ['Tổng Toán, Văn, Anh', '27.63']]
